domain,diamond_id,value_tier,width,height,aspect_ratio,r_mean,g_mean,b_mean,r_std,g_std,b_std
ja_natural,25870585,mid_range,757,600,1.2617,188.9724,188.6927,187.7453,38.5446,38.871,38.6272
ja_natural,26640182,mid_range,757,600,1.2617,187.4287,187.3698,187.5165,36.7977,36.5789,36.1819
ja_natural,27711053,mid_range,757,600,1.2617,170.0121,169.6415,168.8185,63.8267,63.5377,62.5135
ja_natural,28240678,mid_range,757,600,1.2617,187.7516,187.4909,186.0934,35.343,34.7425,35.0255
ja_natural,27302170,mid_range,757,600,1.2617,191.1862,190.5376,188.9686,34.3271,33.7457,33.9559
ja_natural,26810507,mid_range,757,600,1.2617,197.612,197.7069,195.2535,33.4671,33.3819,33.0972
ja_natural,28479197,mid_range,757,600,1.2617,188.0637,188.3421,186.843,35.6927,35.2411,35.478
ja_natural,24612063,mid_range,757,600,1.2617,174.8161,174.8722,173.608,53.1426,52.0366,50.6142
ja_natural,27966043,mid_range,757,600,1.2617,180.4673,180.5874,177.9636,48.7607,45.6958,44.2435
ja_natural,24469533,mid_range,757,600,1.2617,191.5699,190.3753,186.9381,22.8103,22.8706,23.3324
ja_natural,24397190,mid_range,757,600,1.2617,175.4429,175.9648,177.053,62.6742,60.6724,60.1259
ja_natural,28284356,mid_range,757,600,1.2617,185.5562,184.3226,179.6504,38.9639,38.5092,38.673
ja_natural,27784585,mid_range,757,600,1.2617,179.7895,179.4064,176.0533,42.9926,42.06,42.1611
ja_natural,25917384,mid_range,757,600,1.2617,179.5881,178.7581,175.8511,42.5897,43.0673,43.4219
ja_natural,24087886,mid_range,757,600,1.2617,180.5797,178.8242,175.8956,39.8175,39.6122,39.9805
ja_natural,26985626,mid_range,757,600,1.2617,183.925,183.609,179.3252,45.4073,44.2819,44.3631
ja_natural,28142129,mid_range,757,600,1.2617,189.2943,189.0999,187.8699,36.1643,36.3774,36.4524
ja_natural,15625425,mid_range,757,600,1.2617,171.2784,170.1077,166.5048,62.2907,62.7526,62.1845
ja_natural,26824510,mid_range,757,600,1.2617,182.1936,181.0675,177.4796,37.1383,37.0377,37.4504
ja_natural,4593796,mid_range,757,600,1.2617,181.331,181.1074,181.1567,38.0161,38.1592,38.0699
ja_natural,27531209,mid_range,757,600,1.2617,187.4103,186.6776,186.4511,33.4628,33.6271,33.5512
ja_natural,26398274,mid_range,757,600,1.2617,186.6687,186.0344,183.2456,45.3719,45.2698,45.3985
ja_natural,26924718,mid_range,757,600,1.2617,187.6552,187.7557,186.6576,30.2589,28.7723,27.6649
ja_natural,28569908,mid_range,757,600,1.2617,177.2019,177.2864,177.0957,52.2024,52.1586,52.9557
ja_natural,27060552,mid_range,757,600,1.2617,183.924,183.268,180.1161,59.1213,58.5997,57.5251
ja_natural,26039255,mid_range,757,600,1.2617,186.0497,185.8249,186.2484,39.3093,39.033,38.4763
ja_natural,23089951,mid_range,757,600,1.2617,172.6006,172.9698,170.7263,60.8063,59.7941,59.5083
ja_natural,24131438,mid_range,757,600,1.2617,162.8155,165.5246,160.5158,68.8838,63.1336,66.0804
ja_natural,28061196,mid_range,757,600,1.2617,181.2267,181.1841,180.4596,42.1843,41.845,41.1747
ja_natural,26673256,mid_range,757,600,1.2617,181.7685,181.9059,179.8358,37.6698,37.5129,37.8595
ja_natural,28328567,mid_range,757,600,1.2617,188.184,188.3958,188.764,31.0554,30.5879,30.4809
ja_natural,24994624,mid_range,757,600,1.2617,181.1173,180.8201,181.5906,57.4705,58.0573,57.0942
ja_natural,15552872,mid_range,757,600,1.2617,183.3825,181.9951,176.3118,35.1542,35.6525,37.6314
ja_natural,28501136,mid_range,757,600,1.2617,181.0074,180.6483,179.3004,41.5082,40.9202,40.8784
ja_natural,22617705,mid_range,757,600,1.2617,174.1908,174.0727,173.2515,63.461,63.9722,63.2328
ja_natural,27718613,mid_range,757,600,1.2617,186.888,186.1054,186.3291,35.9453,35.2426,35.2732
ja_natural,9544985,mid_range,757,600,1.2617,181.351,181.3178,181.4732,36.6282,36.5515,36.7248
ja_natural,27749689,mid_range,757,600,1.2617,185.2769,185.4634,184.8521,39.2482,39.0332,39.0996
ja_natural,11680973,mid_range,757,600,1.2617,174.2655,173.6297,170.5556,30.2665,29.8372,30.3461
ja_natural,28302577,mid_range,757,600,1.2617,190.3343,189.6069,189.7679,24.4521,24.3696,24.8048
ja_natural,27782840,mid_range,757,600,1.2617,175.804,174.8648,172.8965,55.2136,54.2401,52.9795
ja_natural,23834725,mid_range,757,600,1.2617,185.2965,184.9969,183.1553,37.4189,37.41,37.7057
